Title,RecordID,HasImage,ImageFile,MatchMethod,Confidence
"Sidebord/smørkinne",reclvO7mBrHZesl16,True,F2TLrMRWH1XXhpndQ9CRXQIHix9Rgsgc4UYD3NKWbA4.png,positional_by_download_time,high
"Innrammet bilde",rec4IaETMNl28ihZL,False,,no_image,N/A
"Speil",recHGOAw56djQ9C6X,False,,no_image,N/A
"Vintage bilde",recgw7UlzLmZw0nwM,False,,no_image,N/A
"Ruth Krefting",recDsL77TCEQ3fjCJ,True,GXJ2JLhwuMvi7tNhSzuFdhCvW3lrlBTK82Qe7TTbpD8.jpg,positional_by_download_time,high
"Kommode",recu6b3HqiN22UykZ,True,FekMVziQFuhJiAwmnhZy0pw2tR2LHF-dma9HqcW0I2s.png,positional_by_download_time,high
"Speil",reccx0ePx2mR2DBFi,True,_ZkXEXqj5sT_czpakokwmsNnUOraiKF_h3FfOhjNJPs.png,positional_by_download_time,high
"Møblement",recxXP4AmPi6QxwBc,True,AIO0NP7j8nsh_eCyK42-HKN_vKz8DRCwHWRVSMSRU74.png,positional_by_download_time,high
"Bord",recewhE2VoZ1fKmca,True,qmzwmZrBLgjBnE1u_CHHtB-D5AWIfjQqF_vywLr-8Bo.png,positional_by_download_time,high
"Armstoler",rec1wg36frnavcY9f,True,RqF3dOZZOR918EBcOrhoFZ4XQ74YlHapah_X46viMCc.png,positional_by_download_time,high
"Harald Brun",rec8A7jKIQ7FOGgZ9,True,PQZ_sL4VpuyqgcoOCNtSbBfA4pveQs14aL0QySnBbNQ.png,positional_by_download_time,high
"Alice Nordin",recVuF2uaGBWmwQL5,True,gV4PNLdHUSm0gusJCW9WKJRwwb3iPqki2jFWtBJzgI4.png,positional_by_download_time,high
"Skap",rec6AHLPmBemCRWqI,True,Nx7CcKMOVg5lcYYdBETLFxi7-q_cILSBRXlBrJqx5Rw.png,positional_by_download_time,high
"Taklampe",recSDZdNfNhw1QhbE,True,TMtneGeGYQHug2j26iDXYtqA-jO7-4BQZRA3aEsfWXc.png,positional_by_download_time,high
"Taklampe",reczfFZlOjaKC9RvL,True,jP6_Rst1MgK7iPgjwmyicMi0Gsg13XKVCnXTVfeldMI.png,positional_by_download_time,high
"Speil",rec6lsJqSn0T5jqrP,True,1qvRN2dxH4lOxXU9GuWhZMFqvMYvE6b5x2iN0N0daEM.png,positional_by_download_time,high
"Speil",recOH5ilRpfqV2iY3,True,z6i-M7IK0E4vIcGZ4q5xq9t9fxBMn5MwGiKzJfZcxl8.png,positional_by_download_time,high
"Speil",rec81m6uZd8UA7xcr,True,XEjlfQqRT7Y6uyIChzKMmRhQZQ-GIU7Ar6rz8BeeBKQ.png,positional_by_download_time,high
"Sidebord",recMYMCCOSPIjNANC,True,JiVXzsszlTAdJnx7G-l8EBGasZDmf1AmEyD4POW1ayg.png,positional_by_download_time,high
"Andreas Lind",recatq4ED4U4uxrF3,True,LWC5rr5SIWBsXK8ojAuOumFaD5ST3sX0mkwJkS5RDAQ.png,positional_by_download_time,high
"Kommode",recgAQoIx3AFsXeVZ,True,Wgixtw780WA8D3bA9og_9nnW6hFsZ2CoVGA9ubkDdlg.png,positional_by_download_time,high
"Bord og stoler",recsl2jaLxnTGRZZu,True,t-R_EJKnQHHqML2TLd6f9Vh43LrL-1aAmZ3o3ndmztc.png,positional_by_download_time,high
"Armstoler",recW9w49S9urKi1ji,True,hIS_2AP_yo_s5we7qIfcDVfuKpzClDPV-AyK6cI8kbc.png,positional_by_download_time,high
"Armstoler",recsPKGnAqEwILPKz,True,LaNV1cZf-_mD1VHmEDTmzI5oio2K-7UF1gX8nv7IsxQ.png,positional_by_download_time,high
"Kommode",recruB8iMxnnKLjis,True,D_Y2RJFkvZwj67B9Ux79DBal8m0kMHWZxPhUOCtqayM.png,positional_by_download_time,high
"Reidar Aulie",recglc8jH61Oqblwq,True,hMrJcyoUJMtK2DqCkqyJjb9VC1V9BLml5DqAH3iBY6A.png,positional_by_download_time,high
"Olav Eldøy",recKQH3OIKVGluchF,True,ThbabXooQOaF-OxbGtjNAWS5mg-ZdmKIH3cKe9jReCI.png,positional_by_download_time,high
"Rastad & Relling Tegnekontor A/S",recNbfhgNdBrbOP64,True,0KxWRltEGxfpUw7lmqaMUfFdGyQaR8_71ZgBEIu9oRU.png,positional_by_download_time,high
"Dekketøyskap",recah6q2S33hIJfLc,True,8UBl4YFnHvL7BAgBB_F7WyHEF1cDmGvqH3ZxLecqxyQ.png,positional_by_download_time,high
"Dyre Vaa",recBRxIa6YGy31JRE,True,-Ddua6zGOZX98Z0m0uRgzkj9XS8YHkyLjev3m5Wks64.png,positional_by_download_time,high
"Hjalmar Haalke",recOZPA4qpkgSPERQ,True,KahJXlYLGMIyUvNh8kO2BvJytfTNHKy5QRPLONdTklw.png,positional_by_download_time,high
"Bendik Riis",recFK9wXyWXFhUTMO,True,hRK0KgQGqDQMUGDSvlNWl-qU8zjW3vxvAp41h8mgsJM.png,positional_by_download_time,high
"Uidentifisert kunstner",recGcfT6JgpFv3Iu7,True,mN5ORVak7YdUh38_h6PMsDUZHeqctTdu3RZdtjPmEvQ.png,positional_by_download_time,high
"Skrivebord",recYIeWMgSyEp9M1b,True,SAXT_LCXvr0R9fS14LDdmiUitDOYA6oBBDn8kVsYYCw.png,positional_by_download_time,high
"Stol",reclWHQ6PwSONZBvr,True,KcLYzSIbXr97jV55pLSkk6sXl8XM-YpFFxW3EvultBY.png,positional_by_download_time,high
"Stol",recoyUm2oJhA1eoiy,True,biSH1FOdHSiViQSyNKb-CJYWciEKwVnOpXM6Gzp2_Ok.png,positional_by_download_time,high
"Bord",recJREOQ6wKB1k6mk,True,PF3TDqg7F-JRjrSdGIeIqoaD0z2adjFkOvM0JrUnQmI.png,positional_by_download_time,high
"Stoler",rec7zp6Eia6XtX10B,True,3Zm21PzrzlIAOcR4zJRDJWaneAMiB9l0ZWkwTZjh7_w.png,positional_by_download_time,high
"Stol",recjdb7yHUIPwcAsp,True,raf9Jv0eAzMx2K9phMG19_L6fatWfJ-wL2_W1rt2_l8.png,positional_by_download_time,high
"Speil",recVwtrvWUXSJI1xi,True,JU1LipDhDxU1gz09jKrveP_kRv5v7R_sdVur51O1i9s.png,positional_by_download_time,high
"Speil",recHdjlNVu6BlBT7d,True,tslXejATNWmVNflYNFWP3AqyFArio9i61R707NTSQbc.png,positional_by_download_time,high
"Speil",rech00ZyGgsDCVBIH,True,FsYHIe9U0nEMSIaUDz0kmxggg5aSBa0mmX4tmliKYZc.png,positional_by_download_time,high
"Speil",rech2MnQSr4A1gf0p,True,DQbIInnf1AioPgwxG7FW5w4rpMYaWpVVRcihl--ffLY.png,positional_by_download_time,high
"Armstol",reckWi3b5qc47wprI,True,a3nDb7KBEbobBoGPke_cYPfqk9Uej-9kJ8BmUJ6sveE.png,positional_by_download_time,high
"Speil med konsollbord",recebVBL146NPWbAP,True,5KIOvU6ZnaXAKVbJHUXr2cobIpW5hw4w2Hy5ibA3vSY.png,positional_by_download_time,high
"Armstol og stol",recsZpNtk47i7w2dD,True,k5FP9RBp9Ikmp4vSzRfaB3Gz0FBIoX1GwwG1BWEGjhs.png,positional_by_download_time,high
"Speil",rectJyHxXKCPztk3N,True,tRzIRVDCgTTLGmgnUQ_iBiWN7t1j7KAzTQmt5x-5sT4.png,positional_by_download_time,high
"Speil med veggkonsoll",recCcD2pVXYRPlzd3,True,1ol2K1we7aJTNtLbvNU9SCLGTFjWMPTkgkk5bxPO0V4.png,positional_by_download_time,high
"Speil",recpB1UJZMW7mRSXY,True,XIZH2MH-Ky1tIJLQce8jpYcrYo463tTFx3xYrScFMVQ.png,positional_by_download_time,high
"Speil",recnDIGk1IgFmHh7b,True,2TTGrDPxqVWDSkBv_AMtdDVXF5H7BTYbiwujPQCklVg.png,positional_by_download_time,high
"Speil",reciogy3LWRBfGn7N,True,lfxDYP-An9S2mhDphx6disTDFI5NyHguoAGt0Km4Whw.png,positional_by_download_time,high
"Speil",rectPd1aJJNUXjCvj,True,KktMIZBXvkx07r3jzu5jpkwuOUXW3vvz4CYerHUDvm4.png,positional_by_download_time,high
"Sybord",recWudagEc7AFb8YZ,True,AvRbJaXz0UAdP8GDqo56GqiRKq6NdLSZBJLuN3f2cvs.png,positional_by_download_time,high
"Bord",recSytYc0QbUhDxIa,True,krPvSLpdm5I8Xtpzp98olehxmgrevC-fnzSoeMmfE6g.png,positional_by_download_time,high
"Armstoler",recOvIvhh5szgWTRT,True,VfLyH3AammxNA0ocRIgwMEJUbdA-fw4rx_aXD-Mhb3E.png,positional_by_download_time,high
"Speil",recYsH5lNogswziBq,True,-2kbZ9RPw2J-Om73DaBdmCbGJq9lnT_nd8v-dXkgCr0.png,positional_by_download_time,high
"Speil",recmplI8ydKsRtI4R,True,tgCT5q_drSKua4HrZTUexQlShGoTH0MOu5_O6XVrWXA.png,positional_by_download_time,high
"Kaminur",rect3k8POpaQkQEax,True,epiQ-00V4dk0wRvvV4DBTOqba7CassK2Ryi8CRepymA.png,positional_by_download_time,high
"Armstol",rec8n4BpOXGmyo6w6,True,VPyo3rI1WdHGyuBiBQy0j_iaLYdXoMuaOoc1INb8XHs.png,positional_by_download_time,high
"Speil",recDcwWjel3ucUBhI,True,Y61BSgyhM2Z_wYSZ94s45qT7mE9sR4r00QNgdvkmAiY.png,positional_by_download_time,high
"Stoler og armstoler",reckucbuR8B9exNXz,True,-Q6oxzpmfQiymFY-sLNM0clZZjU8Nor21CPFdD08P-A.png,positional_by_download_time,high
"Speil",rec5Cwis6WJCpB3tI,True,HV8aOMxbRVYY_mtOfdiElOgfDIE--jOxksCep8gaSQc.png,positional_by_download_time,high
"Armstol",recjIrfowJop1Z5jT,True,HCkdekq_pqA04FV7ZNT7ufmkeOXBoVNZoxN2it9P2EA.png,positional_by_download_time,high
